epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,524.778,0.83646,0.66256,0.00825,0.92945,0.97219,0.98778,0.81609,0.59931,0.28602,0.00725,0.000990365,0.000990365,0.000990365
43,537.05,0.83267,0.69619,0.00793,0.99019,0.91836,0.98285,0.80756,0.6149,0.26494,0.00772,0.000973861,0.000973861,0.000973861
44,549.292,0.782,0.61346,0.00747,0.94381,0.94055,0.98278,0.80923,0.54988,0.29406,0.00652,0.000957358,0.000957358,0.000957358
45,561.379,0.80029,0.61192,0.00734,0.94612,0.97516,0.98942,0.81811,0.61335,0.24576,0.00743,0.000940855,0.000940855,0.000940855
46,573.235,0.78893,0.60689,0.00755,0.98042,0.95852,0.98819,0.81407,0.6066,0.2487,0.00803,0.000924352,0.000924352,0.000924352
47,585.413,0.82875,0.61632,0.008,0.98425,0.93352,0.9849,0.81559,0.58153,0.26464,0.00749,0.000907848,0.000907848,0.000907848
48,597.601,0.79727,0.59783,0.00734,0.99345,0.94382,0.98837,0.8443,0.52805,0.24453,0.00635,0.000891345,0.000891345,0.000891345
49,609.691,0.86307,0.6303,0.00856,0.97135,0.90072,0.98599,0.81281,0.65458,0.29935,0.00805,0.000874842,0.000874842,0.000874842
50,621.923,0.84445,0.59919,0.00817,0.9215,0.95455,0.9844,0.8101,0.57888,0.26238,0.00663,0.000858338,0.000858338,0.000858338
51,634.182,0.78804,0.5742,0.00718,0.96744,0.95227,0.98819,0.82425,0.59301,0.26134,0.00728,0.000841835,0.000841835,0.000841835
52,646.256,0.80302,0.60221,0.00742,0.90952,0.9875,0.9819,0.8039,0.58919,0.24787,0.00717,0.000825332,0.000825332,0.000825332
53,658.489,0.78352,0.53417,0.00726,0.95729,0.94602,0.98671,0.79986,0.59289,0.26395,0.00725,0.000808828,0.000808828,0.000808828
54,670.61,0.80542,0.55647,0.00753,0.95986,0.95852,0.98724,0.8431,0.5286,0.27929,0.00597,0.000792325,0.000792325,0.000792325
55,682.606,0.77609,0.56939,0.00751,0.94612,0.98184,0.98866,0.85185,0.51706,0.26821,0.00616,0.000775822,0.000775822,0.000775822
56,694.618,0.73958,0.54358,0.00683,0.98115,0.93826,0.98905,0.83948,0.53283,0.24667,0.00603,0.000759318,0.000759318,0.000759318
57,707.004,0.75246,0.57111,0.00735,0.9624,0.93067,0.98367,0.85353,0.50925,0.24423,0.00587,0.000742815,0.000742815,0.000742815
58,719.308,0.71339,0.56282,0.00686,0.93613,0.97102,0.9868,0.83939,0.51319,0.24936,0.00593,0.000726312,0.000726312,0.000726312
59,731.714,0.68518,0.51888,0.00631,0.93228,0.93537,0.98575,0.85097,0.48172,0.26398,0.00583,0.000709809,0.000709809,0.000709809
60,743.81,0.7135,0.55529,0.00712,0.94592,0.93929,0.98351,0.82144,0.51576,0.27048,0.00553,0.000693305,0.000693305,0.000693305
61,755.805,0.73836,0.52533,0.00725,0.95775,0.94485,0.98548,0.82854,0.52137,0.24729,0.00537,0.000676802,0.000676802,0.000676802
62,767.787,0.70102,0.54089,0.00638,0.92127,0.99021,0.98952,0.83973,0.48578,0.21142,0.00498,0.000660299,0.000660299,0.000660299
63,779.964,0.73497,0.53154,0.00678,0.94953,0.96477,0.98984,0.84048,0.51288,0.22888,0.00621,0.000643795,0.000643795,0.000643795
64,791.997,0.69082,0.4854,0.00651,0.93692,0.98192,0.98954,0.85157,0.47961,0.21328,0.0057,0.000627292,0.000627292,0.000627292
65,804.055,0.68121,0.48555,0.00655,0.94554,0.98266,0.98776,0.83144,0.50882,0.29244,0.00572,0.000610789,0.000610789,0.000610789
66,815.996,0.70767,0.50056,0.00669,0.9765,0.98013,0.98944,0.83348,0.52377,0.20151,0.00599,0.000594286,0.000594286,0.000594286
67,828.133,0.70264,0.47286,0.00616,0.96779,0.97111,0.99087,0.83181,0.51123,0.23755,0.00593,0.000577782,0.000577782,0.000577782
68,840.141,0.68559,0.43753,0.00668,0.94712,0.96447,0.989,0.84811,0.49878,0.23961,0.00562,0.000561279,0.000561279,0.000561279
69,852.266,0.69758,0.46807,0.00645,0.94117,0.9776,0.987,0.85644,0.43926,0.2128,0.00476,0.000544776,0.000544776,0.000544776
70,864.512,0.6757,0.49745,0.0066,0.93775,0.98125,0.98958,0.84985,0.46833,0.21937,0.00482,0.000528272,0.000528272,0.000528272
71,876.723,0.6578,0.4658,0.00626,0.9923,0.93901,0.99117,0.86515,0.44329,0.24427,0.0045,0.000511769,0.000511769,0.000511769
72,888.732,0.62163,0.44506,0.00618,0.97548,0.95201,0.9891,0.85437,0.4667,0.24092,0.00491,0.000495266,0.000495266,0.000495266
73,900.89,0.64799,0.47094,0.00605,0.95558,0.95227,0.98921,0.85631,0.49668,0.27198,0.00538,0.000478762,0.000478762,0.000478762
74,912.936,0.63362,0.42586,0.00616,0.96935,0.95138,0.98834,0.8716,0.44498,0.21441,0.00517,0.000462259,0.000462259,0.000462259
75,924.923,0.67504,0.49013,0.00655,0.97619,0.95805,0.9896,0.8619,0.44819,0.21714,0.00526,0.000445756,0.000445756,0.000445756
76,937.064,0.67433,0.42881,0.00624,0.96427,0.96096,0.98842,0.83958,0.47813,0.24007,0.00519,0.000429253,0.000429253,0.000429253
77,949.134,0.62871,0.42312,0.00595,0.9761,0.98299,0.99359,0.85886,0.43864,0.20889,0.00483,0.000412749,0.000412749,0.000412749
78,960.979,0.65445,0.48449,0.00622,0.97871,0.975,0.99336,0.86799,0.44692,0.19418,0.00518,0.000396246,0.000396246,0.000396246
79,972.854,0.59955,0.4179,0.00584,0.9766,0.98291,0.99369,0.85651,0.44261,0.19785,0.00481,0.000379743,0.000379743,0.000379743
