epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1020.12,0.87747,0.57015,0.008,0.90495,0.93199,0.96842,0.8184,0.70001,0.39422,0.00843,0.000990365,0.000990365,0.000990365
43,1043.78,0.86804,0.58978,0.00856,0.95077,0.91221,0.9684,0.79759,0.77519,0.42503,0.0099,0.000973861,0.000973861,0.000973861
44,1067.65,0.88115,0.59702,0.00838,0.90507,0.93809,0.96358,0.79606,0.74063,0.41955,0.00909,0.000957358,0.000957358,0.000957358
45,1091.34,0.8945,0.59171,0.00778,0.9493,0.93213,0.96461,0.80095,0.71958,0.42625,0.00854,0.000940855,0.000940855,0.000940855
46,1114.95,0.85366,0.57237,0.00771,0.88334,0.9349,0.95911,0.79932,0.7302,0.44,0.00862,0.000924352,0.000924352,0.000924352
47,1138.92,0.83755,0.55055,0.00811,0.95912,0.92809,0.97531,0.81417,0.73625,0.37575,0.00863,0.000907848,0.000907848,0.000907848
48,1162.68,0.8391,0.53675,0.00764,0.93145,0.93872,0.97084,0.82025,0.70267,0.40288,0.00835,0.000891345,0.000891345,0.000891345
49,1186.27,0.82835,0.53559,0.00787,0.97048,0.90615,0.97201,0.81385,0.74542,0.4079,0.00954,0.000874842,0.000874842,0.000874842
50,1210.15,0.82967,0.57345,0.00791,0.91361,0.93948,0.97208,0.83815,0.64501,0.39176,0.00763,0.000858338,0.000858338,0.000858338
51,1233.9,0.8439,0.52272,0.00793,0.92327,0.92781,0.97605,0.83532,0.66765,0.36903,0.00809,0.000841835,0.000841835,0.000841835
52,1257.49,0.81405,0.52814,0.00752,0.94715,0.95372,0.97731,0.82647,0.68982,0.35229,0.00843,0.000825332,0.000825332,0.000825332
53,1281.3,0.79586,0.52084,0.00743,0.96758,0.89379,0.97583,0.83923,0.67171,0.34299,0.00828,0.000808828,0.000808828,0.000808828
54,1304.86,0.8533,0.52185,0.00768,0.94095,0.9566,0.97678,0.82437,0.7011,0.35586,0.00817,0.000792325,0.000792325,0.000792325
55,1328.04,0.77431,0.50853,0.00679,0.94428,0.93681,0.96962,0.83151,0.64782,0.40211,0.00724,0.000775822,0.000775822,0.000775822
56,1351.47,0.76882,0.50849,0.00704,0.97492,0.91759,0.97578,0.83787,0.67192,0.36068,0.0078,0.000759318,0.000759318,0.000759318
57,1375.19,0.79919,0.52681,0.00722,0.95305,0.93852,0.97518,0.84017,0.66384,0.33992,0.00762,0.000742815,0.000742815,0.000742815
58,1398.88,0.78795,0.48022,0.00747,0.93099,0.95507,0.97537,0.83413,0.68811,0.3372,0.00823,0.000726312,0.000726312,0.000726312
59,1422.58,0.81357,0.51592,0.0078,0.94559,0.92872,0.96818,0.84413,0.62844,0.3899,0.00777,0.000709809,0.000709809,0.000709809
60,1446.18,0.82163,0.48274,0.00732,0.91934,0.93925,0.96904,0.84422,0.62685,0.3862,0.00759,0.000693305,0.000693305,0.000693305
61,1469.88,0.75982,0.45434,0.00691,0.94476,0.95385,0.97188,0.84874,0.64906,0.35232,0.0075,0.000676802,0.000676802,0.000676802
62,1493.6,0.77194,0.48955,0.00689,0.92944,0.94014,0.97574,0.83939,0.67558,0.35275,0.00794,0.000660299,0.000660299,0.000660299
63,1517.25,0.74864,0.46354,0.00675,0.9475,0.9384,0.97171,0.84668,0.6263,0.34817,0.00721,0.000643795,0.000643795,0.000643795
64,1541.3,0.7572,0.46129,0.00679,0.94707,0.90149,0.97001,0.85559,0.62176,0.37999,0.00741,0.000627292,0.000627292,0.000627292
65,1565.15,0.72622,0.46167,0.00642,0.95977,0.90784,0.97737,0.85871,0.61749,0.33741,0.00706,0.000610789,0.000610789,0.000610789
66,1588.79,0.7296,0.45454,0.00658,0.96229,0.92192,0.97437,0.8576,0.62305,0.32404,0.00724,0.000594286,0.000594286,0.000594286
67,1612.44,0.71782,0.46194,0.0065,0.93453,0.95424,0.98034,0.8618,0.58887,0.31869,0.0068,0.000577782,0.000577782,0.000577782
68,1636.11,0.74553,0.47488,0.00681,0.93126,0.97956,0.98346,0.86338,0.60556,0.30305,0.00692,0.000561279,0.000561279,0.000561279
69,1659.74,0.71139,0.44336,0.00621,0.94658,0.94809,0.98059,0.86244,0.61082,0.30281,0.00718,0.000544776,0.000544776,0.000544776
70,1682.96,0.71462,0.4334,0.00688,0.95743,0.95372,0.98047,0.85675,0.63545,0.31281,0.00718,0.000528272,0.000528272,0.000528272
71,1706.58,0.75636,0.44674,0.00701,0.98464,0.94283,0.98296,0.86393,0.60818,0.29934,0.00708,0.000511769,0.000511769,0.000511769
72,1730.13,0.75134,0.41669,0.00692,0.95372,0.94491,0.98106,0.86117,0.63519,0.33154,0.008,0.000495266,0.000495266,0.000495266
73,1753.83,0.72821,0.42782,0.00647,0.97394,0.92869,0.97878,0.86615,0.60032,0.30796,0.007,0.000478762,0.000478762,0.000478762
74,1777.54,0.68817,0.3985,0.00632,0.97082,0.93759,0.97578,0.86898,0.61138,0.34024,0.007,0.000462259,0.000462259,0.000462259
75,1801.13,0.7002,0.39621,0.00608,0.95992,0.94128,0.9785,0.86432,0.58776,0.34431,0.0062,0.000445756,0.000445756,0.000445756
76,1824.56,0.69318,0.42837,0.00614,0.96009,0.94309,0.98016,0.86717,0.58811,0.33312,0.00632,0.000429253,0.000429253,0.000429253
77,1848.18,0.73628,0.40556,0.00649,0.95902,0.96269,0.98047,0.86619,0.58445,0.33267,0.00633,0.000412749,0.000412749,0.000412749
78,1872.16,0.6923,0.40509,0.00612,0.96112,0.96436,0.98147,0.8719,0.57269,0.32463,0.00609,0.000396246,0.000396246,0.000396246
79,1896.12,0.65389,0.39955,0.00557,0.96311,0.97436,0.98204,0.87723,0.5656,0.3232,0.00611,0.000379743,0.000379743,0.000379743
80,1919.83,0.6756,0.38385,0.00597,0.97243,0.941,0.97884,0.86883,0.58427,0.32974,0.00639,0.000363239,0.000363239,0.000363239
81,1943.75,0.66443,0.40262,0.00567,0.97967,0.92277,0.97728,0.86905,0.57391,0.32972,0.00663,0.000346736,0.000346736,0.000346736
82,1967.37,0.66541,0.38523,0.00565,0.94417,0.96704,0.98097,0.87296,0.57966,0.29183,0.00632,0.000330233,0.000330233,0.000330233
83,1991.06,0.67054,0.41178,0.0059,0.9525,0.95356,0.9828,0.87624,0.56767,0.28333,0.0063,0.000313729,0.000313729,0.000313729
84,2014.63,0.62061,0.38836,0.00546,0.95218,0.96258,0.9841,0.87265,0.58465,0.27115,0.00645,0.000297226,0.000297226,0.000297226
85,2037.97,0.66396,0.39149,0.00578,0.95861,0.94245,0.98076,0.87394,0.58395,0.26684,0.00656,0.000280723,0.000280723,0.000280723
86,2061.49,0.64898,0.39283,0.00562,0.98485,0.95272,0.98476,0.87828,0.57801,0.25337,0.00634,0.00026422,0.00026422,0.00026422
87,2084.98,0.65468,0.41236,0.00566,0.96338,0.97329,0.98185,0.88025,0.57493,0.2618,0.00636,0.000247716,0.000247716,0.000247716
88,2108.67,0.65349,0.37251,0.00563,0.95656,0.96025,0.98215,0.87948,0.57852,0.25959,0.00636,0.000231213,0.000231213,0.000231213
89,2132.17,0.63865,0.37875,0.00556,0.97299,0.95697,0.98238,0.87958,0.57632,0.26721,0.00642,0.00021471,0.00021471,0.00021471
90,2155.67,0.64602,0.37852,0.00543,0.98553,0.93065,0.98137,0.87421,0.58437,0.27411,0.00648,0.000198206,0.000198206,0.000198206
91,2178.87,0.52721,0.24523,0.00544,0.96098,0.96936,0.98506,0.86758,0.58796,0.27255,0.00656,0.000181703,0.000181703,0.000181703
92,2201.78,0.50331,0.23755,0.00521,0.97474,0.93872,0.98343,0.86749,0.57919,0.27333,0.00642,0.0001652,0.0001652,0.0001652
93,2224.78,0.48842,0.24443,0.0049,0.97941,0.95763,0.98545,0.87824,0.56847,0.26112,0.00636,0.000148696,0.000148696,0.000148696
94,2247.89,0.51539,0.2218,0.00516,0.98275,0.94872,0.98492,0.87628,0.58458,0.2717,0.0065,0.000132193,0.000132193,0.000132193
95,2270.59,0.48198,0.22261,0.00481,0.98893,0.9484,0.98559,0.87012,0.58421,0.26067,0.00643,0.00011569,0.00011569,0.00011569
96,2293.61,0.50532,0.23211,0.00502,0.98392,0.95341,0.98535,0.86994,0.57974,0.2625,0.00639,9.91865e-05,9.91865e-05,9.91865e-05
97,2316.57,0.49389,0.23071,0.00479,0.98318,0.95872,0.98587,0.8776,0.5698,0.25344,0.00619,8.26832e-05,8.26832e-05,8.26832e-05
98,2339.61,0.47617,0.23259,0.00468,0.96392,0.9663,0.98421,0.87438,0.57112,0.26902,0.00624,6.61799e-05,6.61799e-05,6.61799e-05
99,2362.28,0.49296,0.22525,0.00471,0.98422,0.94427,0.98498,0.87772,0.56936,0.25759,0.00619,4.96766e-05,4.96766e-05,4.96766e-05
100,2385.09,0.4877,0.24464,0.00453,0.98766,0.94743,0.98475,0.87762,0.56592,0.26287,0.00617,3.31733e-05,3.31733e-05,3.31733e-05
